iter	RMSE
0	0.8006546522
1	0.7432061781
2	0.6929554812
3	0.6501966559
4	0.6119559331
5	0.5779942217
6	0.5479229453
7	0.5204037481
8	0.4980322432
9	0.4783956945
10	0.4615670057
11	0.445208453
12	0.4320475505
13	0.4198969589
14	0.4095989673
15	0.4005481265
16	0.3930869729
17	0.3860026606
18	0.379929937
19	0.3741891199
20	0.3694526265
21	0.3652650117
22	0.3614751987
23	0.3581695679
24	0.355254569
25	0.3525079486
26	0.349899185
27	0.3477123489
28	0.3455774476
29	0.3437237287
30	0.3421615698
31	0.3404429476
32	0.3390138751
33	0.3377332912
34	0.3366022896
35	0.3354798497
36	0.334367411
37	0.3335100856
38	0.332763667
39	0.3321114806
40	0.3313261689
41	0.3305846351
42	0.3299106153
43	0.3292473499
44	0.3287408787
45	0.3281960892
46	0.3273459816
47	0.326714935
48	0.3261109093
49	0.3255148694
50	0.3247523168
51	0.3240175196
52	0.3234229704
53	0.3229752806
54	0.3223510401
55	0.321913935
56	0.3210026149
57	0.3204827132
58	0.3200061958
59	0.3197418983
60	0.3193913297
61	0.3190587232
62	0.3187862703
63	0.3185851748
64	0.3181684644
65	0.3174796883
66	0.3167584651
67	0.3164074123
68	0.3160623424
69	0.3155718063
70	0.3152108243
71	0.3144551959
72	0.3141382598
73	0.3138207184
74	0.3132967129
75	0.3128971909
76	0.3125941964
77	0.3123195915
78	0.3121196016
79	0.3118665552
80	0.3116393742
81	0.3114161896
82	0.3111586963
83	0.3107402671
84	0.3105527992
85	0.3103509347
86	0.3099778898
87	0.3094610186
88	0.3090289503
89	0.3087831973
90	0.3085425741
91	0.3080761782
92	0.3075481815
93	0.3073519358
94	0.3070797045
95	0.3064711048
96	0.3061454152
97	0.3058487357
98	0.3054924536
99	0.3052641871
100	0.3050810366
101	0.3048451179
102	0.3046749803
103	0.3044707591
104	0.304332836
105	0.3041160076
106	0.3038370254
107	0.3036015947
108	0.3033853744
109	0.3029815474
110	0.3027763874
111	0.3025791259
112	0.3024406011
113	0.3022536355
114	0.3018340632
115	0.301680289
116	0.3013329502
117	0.3010601072
118	0.3006473233
119	0.3003372427
120	0.3000042291
121	0.2997512575
122	0.2995579968
123	0.2994330523
124	0.2992112049
125	0.2989694918
126	0.2988211221
127	0.2985859501
128	0.2982337127
129	0.2979286139
130	0.2975984888
131	0.2973535679
132	0.2970294849
133	0.2968482923
134	0.2963505624
135	0.2961584552
136	0.2959875976
137	0.2958021584
138	0.295562611
139	0.2952344615
140	0.2950742842
141	0.2948223593
142	0.2946223033
143	0.294461441
144	0.294217426
145	0.2940373494
146	0.2938259823
147	0.2935817232
148	0.2933792426
149	0.2932501053
150	0.2929750522
151	0.2928085447
152	0.292596575
153	0.2923681157
154	0.2921489307
155	0.2920306982
156	0.2918743882
157	0.2917442986
158	0.2916584345
159	0.291572432
160	0.2913126815
161	0.2911345947
162	0.2909071524
163	0.2908143478
164	0.2905590259
165	0.290394883
166	0.290212285
167	0.2900088167
168	0.2898762636
169	0.2897875393
170	0.2895731251
171	0.2893996239
172	0.289197335
173	0.2890259011
174	0.2888536884
175	0.2887043563
176	0.2884496563
177	0.2883153331
178	0.2881444508
179	0.2879755991
180	0.2877031364
181	0.287423165
182	0.2872472316
183	0.2870257508
184	0.2868550442
185	0.2867458318
186	0.2865846945
187	0.286418022
188	0.2861923135
189	0.2860528056
190	0.2858567734
191	0.2857587677
192	0.285677368
193	0.2855077096
194	0.2852580113
195	0.2851316927
196	0.284842328
197	0.284509434
198	0.2843628251
199	0.2842131758
200	0.2840174699
201	0.2838591875
202	0.2837227646
203	0.283628473
204	0.2834286014
205	0.2833418903
206	0.2832170261
207	0.2831193587
208	0.2829454417
209	0.2827874821
210	0.2826090691
211	0.2824999424
212	0.2824143459
213	0.2822606471
214	0.2821565483
215	0.2820455226
216	0.2819055242
217	0.2817425584
218	0.2814640038
219	0.2813278799
220	0.2811562436
221	0.2810036556
222	0.2808592253
223	0.2806972973
224	0.2806032776
225	0.2804469921
226	0.2802985508
227	0.2801928169
228	0.2800595929
229	0.2799610245
230	0.2798833787
231	0.2797427344
232	0.2795811609
233	0.2795336237
234	0.2792460305
235	0.2790662376
236	0.278952458
237	0.2787318346
238	0.2786548314
239	0.27853427
240	0.2783910515
241	0.2781703382
242	0.2779928861
243	0.2778623698
244	0.2777165136
245	0.2775818035
246	0.2774327429
247	0.2773271311
248	0.2772072683
249	0.2770846916
250	0.2767981354
251	0.2767274905
252	0.2766155342
253	0.2765421074
254	0.2763612548
255	0.2762390465
256	0.2761088027
257	0.2759959433
258	0.2758324994
259	0.2756827051
260	0.2755609174
261	0.2754430473
262	0.2753482649
263	0.2752528108
264	0.2751328396
265	0.2750542523
266	0.2749555152
267	0.2747653112
268	0.27465241
269	0.2744741273
270	0.2743835808
271	0.2742373464
272	0.274165942
273	0.2741059818
274	0.2739668607
275	0.2739047805
276	0.2737667843
277	0.2736923998
278	0.2736137328
279	0.2734902252
280	0.2734383353
281	0.2733406257
282	0.2732467186
283	0.2731586535
284	0.2731084107
285	0.2729873419
286	0.2729042943
287	0.2728220032
288	0.2727423892
289	0.2726549194
290	0.2725365482
291	0.2724790723
292	0.27239194
293	0.2722540686
294	0.2721520616
295	0.2720602181
296	0.2720149985
297	0.2719553202
298	0.2718831612
299	0.2717685043
300	0.2716888816
301	0.2715947926
302	0.2714918467
303	0.2714423912
304	0.2713739573
305	0.2712544566
306	0.2711895108
307	0.2711342124
308	0.2710444636
309	0.2708886793
310	0.2707650603
311	0.2706622076
312	0.2705596433
313	0.2704538401
314	0.2703639823
315	0.2702479693
316	0.2701856639
317	0.2700892079
318	0.2699784899
319	0.2699422617
