iter	Passed	Remaining
0	2	2246
1	4	2342
2	6	2261
3	8	2167
4	10	2080
5	12	2144
6	15	2136
7	16	2062
8	18	2015
9	20	1997
10	22	1980
11	23	1930
12	25	1903
13	26	1877
14	28	1879
15	30	1876
16	32	1883
17	34	1866
18	36	1865
19	38	1868
20	39	1860
21	41	1847
22	43	1833
23	45	1869
24	47	1867
25	49	1853
26	51	1839
27	52	1826
28	54	1834
29	56	1821
30	57	1808
31	59	1793
32	61	1799
33	63	1806
34	65	1796
35	66	1784
36	68	1774
37	69	1770
38	71	1757
39	72	1743
40	74	1740
41	76	1736
42	77	1735
43	79	1735
44	82	1741
45	83	1735
46	85	1730
47	87	1728
48	88	1722
49	90	1712
50	92	1715
51	93	1713
52	95	1706
53	97	1706
54	98	1696
55	100	1701
56	102	1696
57	104	1692
58	105	1683
59	107	1679
60	108	1671
61	110	1667
62	111	1663
63	113	1657
64	115	1657
65	116	1655
66	118	1653
67	120	1649
68	121	1644
69	123	1639
70	124	1632
71	126	1635
72	128	1631
73	130	1637
74	132	1631
75	133	1625
76	135	1621
77	137	1619
78	138	1613
79	139	1608
80	141	1602
81	142	1598
82	144	1596
83	145	1591
84	147	1588
85	148	1582
86	150	1578
87	151	1574
88	153	1572
89	154	1566
90	156	1562
91	157	1559
92	159	1557
93	161	1553
94	163	1561
95	165	1560
96	167	1555
97	168	1551
98	170	1549
99	171	1547
100	173	1545
101	175	1544
102	176	1540
103	178	1535
104	179	1529
105	180	1526
106	182	1523
107	183	1519
108	185	1514
109	186	1511
110	188	1505
111	189	1501
112	190	1497
113	192	1496
114	194	1493
115	195	1489
116	196	1485
117	198	1482
118	199	1478
119	201	1475
120	202	1472
121	204	1470
122	206	1472
123	207	1468
124	209	1466
125	210	1463
126	212	1459
127	213	1457
128	215	1455
129	216	1452
130	218	1449
131	219	1446
132	221	1443
133	222	1439
134	224	1437
135	225	1433
136	226	1429
137	228	1428
138	230	1427
139	232	1428
140	234	1426
141	235	1425
142	237	1425
143	239	1423
144	241	1422
145	242	1419
146	244	1417
147	245	1416
148	247	1413
149	248	1410
150	250	1407
151	251	1404
152	253	1400
153	254	1398
154	255	1394
155	257	1392
156	259	1393
157	261	1390
158	262	1390
159	264	1387
160	266	1389
161	268	1387
162	269	1386
163	272	1388
164	275	1392
165	276	1391
166	278	1389
167	280	1391
168	282	1391
169	285	1392
170	287	1392
171	289	1393
172	292	1395
173	294	1396
174	295	1394
175	297	1391
176	299	1391
177	300	1388
178	302	1385
179	303	1383
180	305	1383
181	307	1382
182	309	1382
183	311	1380
184	313	1380
185	316	1383
186	318	1385
187	320	1385
188	323	1389
189	325	1387
190	327	1388
191	329	1385
192	330	1383
193	333	1385
194	335	1383
195	337	1383
196	339	1384
197	342	1387
198	344	1385
199	345	1383
200	347	1381
201	349	1380
202	351	1381
203	353	1379
204	355	1377
205	356	1374
206	358	1372
207	359	1369
208	361	1367
209	362	1365
210	364	1364
211	366	1362
212	367	1359
213	369	1357
214	370	1354
215	372	1352
216	374	1351
217	375	1348
218	377	1345
219	378	1343
220	381	1343
221	382	1340
222	383	1337
223	385	1334
224	387	1333
225	388	1330
226	390	1329
227	391	1326
228	393	1324
229	394	1321
230	396	1319
231	397	1316
232	400	1317
233	401	1314
234	403	1312
235	404	1310
236	406	1307
237	407	1305
238	409	1303
239	411	1301
240	412	1300
241	414	1298
242	416	1296
243	417	1294
244	419	1292
245	420	1290
246	422	1288
247	424	1285
248	425	1284
249	427	1281
250	428	1279
251	430	1276
252	431	1274
253	433	1272
254	434	1270
255	436	1269
256	438	1267
257	440	1267
258	442	1267
259	444	1264
260	445	1262
261	447	1259
262	448	1257
263	450	1255
264	452	1253
265	453	1252
266	455	1251
267	457	1249
268	459	1247
269	460	1245
270	462	1242
271	463	1240
272	464	1238
273	466	1236
274	468	1234
275	469	1231
276	471	1229
277	472	1226
278	473	1224
279	475	1222
280	476	1219
281	478	1217
282	479	1216
283	481	1214
284	483	1213
285	485	1212
286	487	1209
287	489	1209
288	490	1206
289	492	1204
290	493	1202
291	495	1200
292	496	1198
293	498	1196
294	499	1194
295	501	1193
296	503	1190
297	504	1188
298	505	1185
299	507	1183
300	508	1181
301	510	1179
302	512	1178
303	513	1176
304	515	1175
305	517	1173
306	519	1171
307	520	1170
308	522	1169
309	524	1167
310	526	1165
311	527	1163
312	529	1161
313	531	1161
314	532	1158
315	534	1157
316	535	1154
317	537	1152
318	538	1150
319	540	1148
320	542	1146
321	543	1145
322	545	1142
323	546	1140
324	548	1138
325	550	1138
326	552	1136
327	553	1134
328	555	1132
329	556	1130
330	558	1128
331	560	1126
332	561	1125
333	563	1124
334	565	1122
335	567	1120
336	568	1119
337	570	1117
338	572	1115
339	573	1113
340	575	1111
341	577	1110
342	578	1108
343	580	1107
344	583	1107
345	585	1107
346	587	1105
347	589	1103
348	590	1101
349	592	1099
350	593	1098
351	595	1096
352	597	1094
353	599	1093
354	601	1092
355	602	1090
356	604	1089
357	606	1087
358	608	1085
359	609	1084
360	611	1082
361	613	1080
362	614	1078
363	616	1077
364	618	1075
365	619	1073
366	620	1071
367	622	1069
368	624	1067
369	625	1065
370	627	1064
371	629	1062
372	631	1061
373	633	1060
374	635	1059
375	637	1057
376	638	1055
377	640	1053
378	642	1052
379	644	1051
380	646	1049
381	647	1048
382	649	1046
383	651	1045
384	653	1044
385	655	1042
386	656	1040
387	658	1038
388	659	1036
389	661	1034
390	663	1033
391	664	1031
392	666	1029
393	668	1027
394	669	1025
395	671	1023
396	672	1022
397	674	1019
398	676	1018
399	677	1016
400	679	1015
401	681	1014
402	683	1013
403	685	1011
404	687	1009
405	688	1007
406	690	1005
407	691	1003
408	693	1001
409	694	999
410	695	997
411	697	995
412	699	994
413	701	992
414	702	990
415	703	987
416	705	986
417	707	984
418	708	982
419	710	980
420	711	978
421	713	976
422	714	975
423	716	973
424	718	971
425	720	970
426	721	968
427	723	966
428	724	964
429	726	962
430	728	961
431	729	959
432	731	957
433	733	956
434	734	954
435	736	953
436	738	951
437	740	949
438	742	948
439	744	947
440	746	946
441	748	945
442	750	943
443	753	943
444	754	941
445	756	939
446	758	938
447	760	936
448	762	935
449	764	934
450	766	933
451	768	931
452	770	930
453	772	928
454	774	927
455	776	926
456	777	924
457	779	922
458	781	920
459	783	919
460	785	917
461	786	915
462	787	913
463	789	911
464	791	910
465	792	908
466	794	907
467	797	906
468	798	904
469	800	902
470	802	900
471	803	899
472	805	897
473	806	894
474	807	892
475	809	890
476	810	888
477	812	887
478	813	885
479	815	883
480	816	881
481	818	879
482	819	877
483	821	875
484	822	873
485	824	871
486	825	870
487	827	868
488	829	866
489	830	864
490	832	862
491	833	860
492	835	859
493	836	857
494	838	855
495	839	853
496	841	851
497	842	849
498	844	847
499	845	845
500	847	844
501	849	842
502	850	840
503	852	838
504	853	836
505	855	834
506	856	833
507	857	830
508	860	829
509	861	828
510	863	826
511	864	824
512	866	822
513	868	820
514	869	818
515	871	817
516	872	815
517	874	813
518	875	811
519	877	809
520	879	808
521	880	806
522	882	804
523	883	802
524	884	800
525	886	798
526	887	796
527	889	794
528	891	793
529	892	791
530	894	790
531	896	788
532	898	787
533	899	785
534	901	783
535	902	781
536	904	779
537	905	777
538	907	775
539	908	774
540	910	772
541	912	770
542	913	768
543	915	767
544	916	765
545	918	763
546	920	761
547	921	760
548	923	758
549	924	756
550	926	755
551	928	753
552	929	751
553	931	749
554	933	748
555	934	746
556	936	744
557	937	742
558	939	740
559	940	738
560	941	737
561	943	735
562	945	733
563	946	731
564	948	729
565	949	728
566	951	726
567	952	724
568	953	722
569	955	720
570	957	719
571	958	717
572	960	715
573	961	713
574	963	711
575	964	710
576	966	708
577	967	706
578	969	704
579	970	702
580	972	701
581	973	699
582	975	697
583	977	696
584	978	694
585	980	692
586	982	690
587	983	689
588	985	687
589	986	685
590	988	684
591	990	682
592	991	680
593	993	678
594	994	677
595	996	675
596	997	673
597	999	671
598	1000	669
599	1001	667
600	1003	666
601	1004	664
602	1006	662
603	1007	660
604	1009	658
605	1010	657
606	1012	655
607	1014	653
608	1015	652
